,Episode Number,Title,Plot,Release Date,Average Rating
0,1,I'm Luffy! The Man Who Will Become the Pirate King!,"Alvida pirates plunder a ship only to find a barrel containing a strange boy names Luffy who is on a quest to find the legendary ""One Piece"" and become the King of Pirates.","Wed, Oct 20, 1999",7.7
1,2,"The Great Swordsman Appears! Pirate Hunter, Roronoa Zoro","Luffy and Koby arrive at Shell Island where they meet Roronoa Zoro, a bounty hunter held under arrest by Captain Morgan.","Wed, Nov 17, 1999",7.7
2,3,Morgan vs. Luffy! Who's This Beautiful Young Girl?,"Luffy convinces Zoro to join her crew, but they must defeat Captain Morgan first. Meanwhile, Koby is accepted as a marine.","Wed, Nov 24, 1999",7.6
3,4,Luffy's Past! The Red-haired Shanks Appears!,Luffy reflects on his past and how he came in possession of his Straw Hat.,"Wed, Dec 8, 1999",8.3
4,5,"Fear, Mysterious Power! Pirate Clown Captain Buggy!",Nami tricks Luffy into allowing her to turn him over to Buggy as a battle ensues.,"Wed, Dec 15, 1999",7.4
5,6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,After Buggy's defeat Mohji and Richie seek revenge while Luffy meets a small dog guarding his master's store.,"Wed, Dec 29, 1999",7.7
6,7,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,The city's mayor rushes to fight Buggy but the Straw Hat Pirates come to his aid. Zoro fights Cajabi while Luffy faces Buggy himself.,"Wed, Dec 29, 1999",7.6
7,8,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,Luffy becomes enrages when Buggy rips his straw hat as the battle continues.,"Wed, Dec 29, 1999",7.7
8,9,Seigi no usotsuki? Kyaputen Usoppu,Nami forms an alliance with the Straw Hat Pirates as their navigator as the crew arrives at Syrup Village where they meet Usopp.,"Wed, Jan 12, 2000",7.1
9,10,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,"Luffy and Usopp learn that Kaya's caretaker, Klahadore pairs up with a strange man plot as they plot to kill her.","Wed, Jan 19, 2000",7.4
10,11,Inbou o abake! Kaizoku shitsuji Kyaputen Kuro,"After learning of Captain Kuro's evil plan, Usopp runs back to the village to warn Kaya, only to find that after all his years of lying no one believes him.","Wed, Jan 26, 2000",7.3
11,12,Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!,"Usopp, Luffy, Zoro, and Nami formulate a plan on the slope for when the pirates come.","Wed, Feb 2, 2000",7.6
12,13,Kyoufu no futarigumi! Nyâban kyoudai vs Zoro,"The Straw Hat Pirates take out most of the Black Cat Pirates, so Jango orders the Nyaban Brothers to attack. Meanwhile, after getting hypnotized by Jango, Luffy gets himself stuck under the collapsed mast of the Black Cat Pirates' ship.","Wed, Feb 9, 2000",7.6
13,14,Rufi fukkatsu! Kaya ojousama no kesshi no taikou,"Captain Kuro arrives at the scene, and with Zoro too injured to fight, Luffy being incapacitated, and the other two being too weak to handle him, things seem hopeless. However, Kaya herself appears to bargain with Kuro.","Wed, Feb 16, 2000",7.6
14,15,Kuro o taose! Otoko Usoppu namida no ketsui!,Zoro and Buchi face off once again as Luffy and Kuro begin their fight.,"Wed, Feb 23, 2000",7.4
15,16,Kaya o mamore! Usoppu kaizokudan daikatsuyaku!,"As the fight between Luffy and Kuro is close to an end, the Usopp Pirates do their best to avoid Jango.","Wed, Mar 1, 2000",7.6
16,17,Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!,Kuro's ultimate attack destroys everything in the area and Luffy becomes enraged by his lack of regard for his crew.,"Wed, Mar 8, 2000",8.0
17,18,Anta ga chunjuu! Gaimon to kimyou na nakama,"With Usopp now in the crew and a new ship, the Going Merry, the Straw Hats head to an island said to hold a fabled treasure, only to encounter a strange man stuck in a treasure box.","Wed, Mar 15, 2000",6.8
18,19,Santouryuu no kako! Zoro to Kuina no chikai!,"While Usopp and Luffy fool around with the ship's cannon one day, Zoro dreams about his childhood and the promise he made to Kuina.","Wed, Mar 22, 2000",8.9
19,20,Meibutsu kokku! Kaijou resutoran no Sanji,"The crew meets Johnny and Yosaku, Zoro's former companions, and they set sail for the Baratie restaurant in search of a cook.","Wed, Apr 12, 2000",7.6
20,21, Manukarezaru kyaku! Sanji no meshi to Gin on,Luffy tries to recruit Sanji to join his crew.,"Wed, Apr 12, 2000",7.6
21,22,Saikyou no kaizoku kantai! Teitoku Don Kurîku,"Gin returns to the Baratie with his also-starving captain, Don Krieg, to whom Sanji once more gives food, but Don Krieg betrays the cook once he regains his energy.","Wed, Apr 26, 2000",7.5
22,23,Mamore Baratie! Daikaizoku akaashi no Zefu,"It is revealed that Chef Zeff was a great pirate known as Red Leg Zeff. Gin explains the catastrophe the fleet met in Grand Line when they encountered Hawk-Eyes Mihawk, and Krieg attempts to take control of the Baratie.","Wed, May 3, 2000",7.7
23,24,Tama no me no Mihôku! Kenzoku Zoro umi ni chiru,"As Nami steals the Going Merry, Mihawk has returned to finish the job, but Zoro challenges him to a duel in order to achieve his dream.","Wed, May 10, 2000",9.1
24,25,Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru,"Mihawk leaves after defeating Zoro, so Krieg continues his invasion as Sanji reveals his fighting skills. Meanwhile, Johnny and Yosaku leave with Usopp and the wounded Zoro to go after Nami.","Wed, May 17, 2000",7.5
25,26,Zefu to Sanji no yume Maboroshi no ôru burû,"With Zeff held captive by Gin, Sanji has no choice but to take Pearl's hits, and he reflects on why Zeff means so much to him.","Wed, May 24, 2000",8.6
26,27,Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin,"Gin finishes off Pearl, claiming that he wants to kill Sanji himself. Still wounded, Sanji faces Gin while Luffy attacks Don Krieg.","Wed, May 31, 2000",7.5
27,28, Shinaneeyo! Gekitou Rufi vs Kurîku!,"When Gin refuses to kill Sanji, Krieg uses poison gas on him. Luffy seems to have the advantage in the fight until Krieg pulls out his explosive Battle Spear.","Wed, Jun 7, 2000",7.6
28,29,Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!,"Even after taking several hits from the Battle Spear, Luffy refuses to give up.","Wed, Jun 21, 2000",7.8
29,30,Tabidachi! Umi no kokku wa Rufi to tomoni,Sanji makes the difficult decision on whether to stay or to go with Luffy.,"Wed, Jun 28, 2000",8.3
30,31,Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!,"The crew chases after Nami, who stole their ship, and Yosaku takes time during the trip to explain about Arlong and his Fishmen to Luffy and Sanji. Meanwhile, Usopp, Johnny, and Zoro arrive at the island Nami docked at.","Wed, Jul 12, 2000",7.6
31,32,Cocoyashi Mura no Majo! Arlong no Onna Kanbu,Zoro is captured by the fishmen. Usopp comes to the rescue when a group of Fishmen attack Cocoyashi Village.,"Wed, Jul 19, 2000",7.7
32,33,Usopp Shisu?! Luffy Jouriku wa Mada?,"After Zoro escapes with Nami's help, she tries to prove her loyalty to the Arlong Pirates by appearing to kill Usopp. Meanwhile, Luffy's group finally arrives at the island.","Wed, Jul 19, 2000",7.8
33,34,Zen'in Shuuketsu! Usopp ga Kataru Nami no Shinjitsu,Johnny tells the others about Nami killing Usopp. Luffy stubbornly decides to stay on the island.,"Wed, Jul 26, 2000",7.4
34,35,Himerareta Kako! Onna Senshi Bell-mere!,"Nojiko starts her story about Nami's childhood and their adopted mother, Bellemere. Despite being poor and none of them being related by blood, they had a happy life.","Wed, Aug 2, 2000",8.1
35,36,Ikinuke! Haha Bellemere to Nami no Kizuna!,"Nojiko continues her story, explaining how their life was ruined when the Arlong Pirates first took over the village.","Wed, Aug 9, 2000",8.9
